x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50
37.34775573,2.153211422,195.2461603,15.71388799,4.449641788,20.95529588,0.631093953,46.22028643,2.05663718,11.94662795,16.39626974,44.71288872,12.49460495,12.48511353,7.107933134,14.82243764,6.50702805,7.248980879,12.89824557,27.41181031,4.195490691,12.90054495,0.131097723,2.049267948,0.980542403,5.943325134,61.41343302,40.30917652,2.319565607,0.980542403,55.16053795,44.83946205,81.28902241,51.9665415,0.948098773,1.359025625,2.25833597,0.900322192,0.473773445,0.526226555,627.1522121,-1068.29653,12.72426685,0.858899247,1.61888521,116.4280913,25.95843366,88.58082885,46.02214489,10.19024937
30.93155026,2.608770687,552.4205045,24.92130372,2.894130065,8.808238936,0.647407871,58.72509592,1.699580657,21.33977767,24.23390773,35.84698423,15.39296705,20.08689112,9.448141251,18.33801311,8.900680404,12.85869761,17.00935211,14.27929031,8.354935701,10.88088152,0.095288331,2.94049747,0.734766579,7.13448777,51.15994473,49.4439399,5.359943218,0.734766579,47.52424476,52.47575524,110.4189146,27.74426089,2.378965328,1.079146094,1.684148678,3.078380239,0.754804618,0.245195382,96.82212707,1201.332778,9.378353012,1.588251685,1.131961669,62.96231318,21.03321366,69.68713973,101.4575234,9.150296147
37.73849525,0.492436546,611.2397641,24.23902404,2.944468934,12.89312908,0.48494676,155.4220427,4.576353765,10.65669807,13.601167,25.74880516,6.525630671,10.93753609,4.025902257,8.354059719,4.008223734,6.179817642,6.463447172,38.69962531,5.020398061,43.57106399,0.035680398,1.547078723,0.651459718,6.509339752,56.07327531,28.27349334,3.727705546,0.651459718,36.27923075,63.72076925,175.6398026,26.31922305,-8.694790226,1.794401014,2.563184872,1.326301465,0.5701331,0.4298669,133.9604496,218.3910518,3.48065465,1.57151375,1.459820324,63.63291444,25.85697879,86.59922162,41.21401092,116.6539683
0,9.017262995,137.9400488,16.88741722,9.345163468,14.43430722,0.16172174,26.41898865,2.468897676,-41.01649146,-31.671328,23.66669881,-10.59682944,-16.32166984,-11.42432785,-18.41763381,-13.37995669,-36.3487318,-1.080142733,6.895554055,1.906767194,196.4606037,0.039802017,0.976917279,0.314297839,18.86988171,19.34299354,13.35028427,1.455498345,0.314297839,69.33508467,30.66491533,44.22712611,100,-10.01902174,0.251215559,0.721926372,3.517158435,0.778621889,0.221378111,-43.75,-136.2869198,3.987490227,1.122983974,0.890484658,89.04846578,83.30600829,10.39592498,-49.23593424,-15.57875458
32.04531273,1.081030995,455.1329593,24.8818353,4.444238534,6.327141629,0.572109427,35.23552124,1.565950612,-3.598632067,0.845606467,18.70698398,-3.125824561,-3.078357792,-1.982688892,-5.247013966,-2.00478494,-1.772890831,-1.450125863,18.67575419,18.46012765,30.74949766,0.063042187,2.531012423,1.118336706,5.819709702,62.71790496,27.88597319,15.00679453,1.118336706,63.58129255,36.41870745,57.27896679,60.70968086,2.168857029,1.5912362,1.877406842,1.409123844,0.584911335,0.415088665,-14.37367123,-409.9398544,6.184321432,0.919942504,1.331660275,108.7024456,19.55224726,98.76081653,-18.40520949,-29.16828929
21.80243331,1.224639752,261.175126,16.02351099,3.666723632,10.85413829,0.59178616,43.5806476,1.597981904,13.68413842,17.35086206,40.23425905,9.699313612,13.45110186,6.065652743,13.17547808,5.424224758,7.718620682,11.8704262,11.43322289,7.825479373,8.901055335,0.179124657,2.871595833,0.78584672,7.05977487,51.70136537,63.41066244,4.67695573,0.78584672,44.6842753,55.3157247,123.7923729,29.03333837,3.241031858,0.978643851,1.654492996,2.763478894,0.7342884,0.2657116,50.97756067,261.4891202,16.81606595,1.643281433,1.14314755,60.85384887,22.85323073,67.74385943,59.87835412,6.157725957
32.86613045,0,1448.637174,29.4642099,1.739200168,8.548801215,0.386721558,187.8386167,3.266889538,6.848539222,8.587739391,14.49049454,13.45869843,13.69863014,8.299694792,14.8967021,7.621234586,4.225203867,2.032909476,12.20622804,25.95680739,18.81543929,0.05956877,5.83408629,1.964330019,11.59645452,31.47513746,9.235929569,22.19553763,1.964330019,59.88319531,40.11680469,66.991757,27.28850228,-6.979691308,2.672887935,3.453794698,1.644828081,0.621903591,0.378096409,62.2276772,112.4068675,5.668823107,1.038527733,1.431937782,96.29015845,6.069157014,191.5765133,112.841688,12.27672956
20.99936749,0.633598841,390.6440812,15.36340358,2.82404055,51.88164765,0.595830438,140,3.95365677,6.98769008,9.81173063,28.19333816,7.63779378,8.820310017,4.746071856,9.213070148,4.830787082,4.522085445,8.573497466,43.24764663,2.011213864,31.58580739,0.03726352,1.595332987,1.049531663,12.21043324,29.89246923,12.43167952,1.444185538,1.049531663,56.97543995,43.02456005,75.51422171,41.08234448,6.054858934,0.718161926,3.653391685,0.548574509,0.354244827,0.645755173,216.8498168,113.0434783,3.61362057,0.621750051,2.323943662,160.8363358,16.54598117,44.42013129,42.23194748,4.498834499
-1766.666667,1.368809597,302.9801325,18.80794702,4.367886804,7.134042881,0.323269856,70.77464789,3.091356506,2.045524454,6.413411258,29.63703476,4.329466151,10.430839,3.680490732,1.394787898,3.192966219,6.367271609,3.768071363,21.48569671,8.288081581,44.81697939,0.072421267,2.090675241,0.578032627,4.208414239,86.73100584,77.94644809,5.831739962,0.578032627,31.8910998,68.1089002,213.56711,19.69199411,70.34090909,1.415756182,1.947671075,2.828166519,0.738778343,0.261221657,11.12119837,31.69642857,6.595448212,2.316565901,1.172043011,43.16734523,26.74561673,85.2213916,7.648073606,1.055555556
25.58676547,15.82202198,600.4305428,16.55933763,1.972274207,22.92330122,0.417287799,317.3555556,6.259121768,14.60403308,16.57630729,28.48665209,18.98199163,23.97960884,13.25442843,25.530301,12.34441554,9.462971647,12.23160635,27.32432515,5.861078644,18.02307999,0.070625348,2.408688308,1.400662384,6.850713106,53.27912501,23.64703034,4.191453562,1.400662384,58.810783,41.189217,70.03684512,46.46872658,1.639685918,1.559757445,2.757415539,0.894756798,0.472227781,0.527772219,73.04420656,43.90672261,6.376647301,0.80296122,1.71230704,124.5390157,14.67240525,106.5477791,99.53400842,17.48216159
